job_name,salary,job_exp,skills,job_degree,city,welfare,company
UI设计师,12-13K,1-3年,"['UI设计', '交互体验设计', '美术设计师', 'PC端', '小程序']",本科,西安,null,讯拓科盛
UI设计师,5-8K,1-3年,"['视觉设计', 'UI设计', '网页设计', 'PhotoShop', '全职']",大专,扬州,"['加班补助', '五险一金', '年终奖', '员工旅游']",江苏茗鹤
ui设计师,11-20K,3-5年,['视觉设计'],大专,深圳,"['年终奖', '五险一金', '生日会']",健创电子
UI设计师,5-8K,1-3年,"['视觉设计', '交互体验设计', '平面设计']",大专,菏泽,['五险一金'],山东海汉网络科技
UI设计师,15-25K·13薪,3-5年,"['UI设计', '交互体验设计', '动效设计']",本科,北京,"['加班餐', '股票期权', '节日福利', '交通补助', '补充医疗保险', '带薪年假', '五险一金', '通讯补贴', '绩效奖金', '打车福利', '零食下午茶']",慧策（掌上先机）
UI设计师,4-5K,1-3年,"['视觉设计', 'PhotoShop', '移动端', '美术设计师', 'UI设计']",大专,西安,null,瀚潮
ui设计师,5-8K,在校/应届,"['交互设计', '原型设计', '视觉设计', '客户端', '移动端']",本科,贵阳,['绩效奖金'],盛德数科
UI设计师,7-10K·13薪,1-3年,"['AE', '视觉设计', '数字孪生', '大屏可视化', '移动端']",本科,武汉,"['团建聚餐', '住房补贴', '股票期权', '节日福利', '加班补助', '通讯补贴', '全勤奖', '绩效奖金', '零食下午茶', '法定节假日三薪', '节假日加班费', '年终奖']",微晶石
UI设计师,4-8K·13薪,1-3年,"['移动端', '视觉设计', 'UI设计']",大专,芜湖,"['带薪年假', '员工旅游', '节日福利', '免费班车', '餐补']",仟山文旅
UI设计师,6-9K,1-3年,"['移动端', 'AI', 'PS', 'AE', '交互体验设计']",大专,广州,"['股票期权', '全勤奖', '节日福利', '年终奖', '餐补', '员工旅游', '零食下午茶', '带薪年假']",广州火树网络科技
UI设计师,4-6K,1-3年,"['UI设计', '交互体验设计', '视觉设计', 'Web端', '设计规范']",本科,青岛,['五险一金'],技术开发、技术服务
UI设计师,10-15K,3-5年,['UI设计'],大专,北京,"['五险一金', '餐补', '住房补贴']",北京智维世纪科技...
UI设计师,6-8K,5-10年,"['视觉设计', 'UI设计', '动效设计', '交互体验设计']",本科,成都,"['五险一金', '带薪年假', '年终奖']",乐君科技
UI设计师,2-3K,经验不限,"['视觉设计', 'Web端', '美工', '美术设计师', '简约风格']",学历不限,海口,"['五险一金', '餐补', '加班补助', '年终奖', '交通补助', '包吃', '股票期权', '节日福利', '住房补贴', '零食下午茶']",汇清贝金
UI设计师,5-7K,1-3年,"['视觉设计', 'UI设计', '交互体验设计', '移动端', 'Web端']",大专,温州,"['五险', '全勤奖', '员工旅游', '股票期权', '零食下午茶']",易允
UI设计师,25-50K·16薪,3-5年,"['UI设计', '留学', '英文工作环境']",本科,北京,"['补充医疗保险', '年终奖', '带薪年假', '五险一金', '节日福利']",快手
UI设计师,7-8K,1年以内,"['UI', '移动交互', '网店设计']",本科,石家庄,"['五险一金', '定期体检', '加班补助', '带薪年假', '年终奖', '员工旅游', '节日福利', '住房补贴', '全勤奖', '通讯补贴', '股票期权', '补充医疗保险', '零食下午茶']",众合电子商务
